# Detector n: 1D Projection
 -1.6835000169E-01 -1.6720000172E-01  7.97520E-07  2.67045E+00
 -1.6720000172E-01 -1.6605000174E-01  8.08707E-07  2.65234E+00
 -1.6605000174E-01 -1.6490000176E-01  8.47712E-07  2.65357E+00
 -1.6490000176E-01 -1.6375000179E-01  8.50654E-07  2.68040E+00
 -1.6375000179E-01 -1.6260000181E-01  8.42164E-07  2.73262E+00
 -1.6260000181E-01 -1.6145000184E-01  8.44237E-07  2.67882E+00
 -1.6145000184E-01 -1.6030000186E-01  8.81025E-07  2.75758E+00
 -1.6030000186E-01 -1.5915000188E-01  8.87733E-07  2.70964E+00
 -1.5915000188E-01 -1.5800000191E-01  8.77448E-07  2.72406E+00
 -1.5800000191E-01 -1.5685000193E-01  9.09853E-07  2.69875E+00
 -1.5685000193E-01 -1.5570000196E-01  9.32472E-07  2.67250E+00
 -1.5570000196E-01 -1.5455000198E-01  9.33851E-07  2.71521E+00
 -1.5455000198E-01 -1.5340000200E-01  9.81969E-07  2.78653E+00
 -1.5340000200E-01 -1.5225000203E-01  9.93416E-07  2.79850E+00
 -1.5225000203E-01 -1.5110000205E-01  1.02238E-06  2.77664E+00
 -1.5110000205E-01 -1.4995000207E-01  1.05704E-06  2.74630E+00
 -1.4995000207E-01 -1.4880000210E-01  1.09628E-06  2.75670E+00
 -1.4880000210E-01 -1.4765000212E-01  1.11104E-06  2.85747E+00
 -1.4765000212E-01 -1.4650000215E-01  1.12996E-06  2.86159E+00
 -1.4650000215E-01 -1.4535000217E-01  1.19365E-06  2.91278E+00
 -1.4535000217E-01 -1.4420000219E-01  1.19497E-06  2.89102E+00
 -1.4420000219E-01 -1.4305000222E-01  1.29817E-06  2.87750E+00
 -1.4305000222E-01 -1.4190000224E-01  1.29815E-06  2.97433E+00
 -1.4190000224E-01 -1.4075000226E-01  1.37942E-06  2.94570E+00
 -1.4075000226E-01 -1.3960000229E-01  1.45583E-06  3.04667E+00
 -1.3960000229E-01 -1.3845000231E-01  1.46367E-06  3.09781E+00
 -1.3845000231E-01 -1.3730000234E-01  1.56130E-06  3.16246E+00
 -1.3730000234E-01 -1.3615000236E-01  1.63859E-06  3.19354E+00
 -1.3615000236E-01 -1.3500000238E-01  1.75881E-06  3.25652E+00
 -1.3500000238E-01 -1.3385000241E-01  1.88936E-06  3.28547E+00
 -1.3385000241E-01 -1.3270000243E-01  1.98175E-06  3.34388E+00
 -1.3270000243E-01 -1.3155000246E-01  2.14439E-06  3.35253E+00
 -1.3155000246E-01 -1.3040000248E-01  2.30118E-06  3.42300E+00
 -1.3040000248E-01 -1.2925000250E-01  2.42726E-06  3.50420E+00
 -1.2925000250E-01 -1.2810000253E-01  2.65003E-06  3.53283E+00
 -1.2810000253E-01 -1.2695000255E-01  2.82393E-06  3.59206E+00
 -1.2695000255E-01 -1.2580000257E-01  3.04005E-06  3.64710E+00
 -1.2580000257E-01 -1.2465000260E-01  3.23186E-06  3.69822E+00
 -1.2465000260E-01 -1.2350000262E-01  3.52689E-06  3.76014E+00
 -1.2350000262E-01 -1.2235000265E-01  3.88085E-06  3.80077E+00
 -1.2235000265E-01 -1.2120000267E-01  4.17152E-06  3.82873E+00
 -1.2120000267E-01 -1.2005000269E-01  4.48282E-06  3.88178E+00
 -1.2005000269E-01 -1.1890000272E-01  4.86414E-06  3.92899E+00
 -1.1890000272E-01 -1.1775000274E-01  5.28262E-06  3.97394E+00
 -1.1775000274E-01 -1.1660000277E-01  5.69508E-06  3.97467E+00
 -1.1660000277E-01 -1.1545000279E-01  6.28045E-06  4.00784E+00
 -1.1545000279E-01 -1.1430000281E-01  6.80495E-06  4.03723E+00
 -1.1430000281E-01 -1.1315000284E-01  7.37777E-06  4.07419E+00
 -1.1315000284E-01 -1.1200000286E-01  8.05117E-06  4.08014E+00
 -1.1200000286E-01 -1.1085000288E-01  8.79474E-06  4.09618E+00
 -1.1085000288E-01 -1.0970000291E-01  9.58273E-06  4.10921E+00
 -1.0970000291E-01 -1.0855000293E-01  1.04633E-05  4.12651E+00
 -1.0855000293E-01 -1.0740000296E-01  1.13824E-05  4.11566E+00
 -1.0740000296E-01 -1.0625000298E-01  1.24455E-05  4.13453E+00
 -1.0625000298E-01 -1.0510000300E-01  1.34602E-05  4.14074E+00
 -1.0510000300E-01 -1.0395000303E-01  1.46493E-05  4.14055E+00
 -1.0395000303E-01 -1.0280000305E-01  1.60012E-05  4.15055E+00
 -1.0280000305E-01 -1.0165000308E-01  1.75456E-05  4.14451E+00
 -1.0165000308E-01 -1.0050000310E-01  1.90044E-05  4.13960E+00
 -1.0050000310E-01 -9.9350003123E-02  2.09406E-05  4.11943E+00
 -9.9350003123E-02 -9.8200003147E-02  2.25731E-05  4.15420E+00
 -9.8200003147E-02 -9.7050003171E-02  2.43295E-05  4.19299E+00
 -9.7050003171E-02 -9.5900003195E-02  2.64119E-05  4.21776E+00
 -9.5900003195E-02 -9.4750003219E-02  2.84892E-05  4.22597E+00
 -9.4750003219E-02 -9.3600003242E-02  3.09226E-05  4.24850E+00
 -9.3600003242E-02 -9.2450003266E-02  3.32660E-05  4.27649E+00
 -9.2450003266E-02 -9.1300003290E-02  3.60602E-05  4.29044E+00
 -9.1300003290E-02 -9.0150003314E-02  3.92274E-05  4.29851E+00
 -9.0150003314E-02 -8.9000003338E-02  4.21168E-05  4.30895E+00
 -8.9000003338E-02 -8.7850003362E-02  4.52336E-05  4.33314E+00
 -8.7850003362E-02 -8.6700003386E-02  4.87094E-05  4.34673E+00
 -8.6700003386E-02 -8.5550003409E-02  5.25941E-05  4.35698E+00
 -8.5550003409E-02 -8.4400003433E-02  5.69249E-05  4.37032E+00
 -8.4400003433E-02 -8.3250003457E-02  6.15061E-05  4.38583E+00
 -8.3250003457E-02 -8.2100003481E-02  6.61334E-05  4.39363E+00
 -8.2100003481E-02 -8.0950003505E-02  7.12394E-05  4.40741E+00
 -8.0950003505E-02 -7.9800003529E-02  7.69456E-05  4.41019E+00
 -7.9800003529E-02 -7.8650003552E-02  8.24551E-05  4.42233E+00
 -7.8650003552E-02 -7.7500003576E-02  8.86276E-05  4.43807E+00
 -7.7500003576E-02 -7.6350003600E-02  9.56040E-05  4.44324E+00
 -7.6350003600E-02 -7.5200003624E-02  1.02906E-04  4.45534E+00
 -7.5200003624E-02 -7.4050003648E-02  1.10565E-04  4.46022E+00
 -7.4050003648E-02 -7.2900003672E-02  1.18776E-04  4.46916E+00
 -7.2900003672E-02 -7.1750003695E-02  1.27640E-04  4.47348E+00
 -7.1750003695E-02 -7.0600003719E-02  1.37104E-04  4.48572E+00
 -7.0600003719E-02 -6.9450003743E-02  1.47093E-04  4.49627E+00
 -6.9450003743E-02 -6.8300003767E-02  1.57786E-04  4.50261E+00
 -6.8300003767E-02 -6.7150003791E-02  1.69742E-04  4.50914E+00
 -6.7150003791E-02 -6.6000003815E-02  1.82004E-04  4.51662E+00
 -6.6000003815E-02 -6.4850003839E-02  1.94976E-04  4.52550E+00
 -6.4850003839E-02 -6.3700003862E-02  2.08880E-04  4.53238E+00
 -6.3700003862E-02 -6.2550003886E-02  2.23974E-04  4.53730E+00
 -6.2550003886E-02 -6.1400003910E-02  2.40361E-04  4.54820E+00
 -6.1400003910E-02 -6.0250003934E-02  2.57597E-04  4.55754E+00
 -6.0250003934E-02 -5.9100003958E-02  2.76734E-04  4.56335E+00
 -5.9100003958E-02 -5.7950003982E-02  2.96605E-04  4.57423E+00
 -5.7950003982E-02 -5.6800004005E-02  3.18655E-04  4.58325E+00
