#Grid-Scan using Optidos
#Timet: 20-06-24-12:38:46
#Unit: Gy
#Duration: 3 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
25.65;26.4;2.9;0.002375;0;0
25.65;26.4;2.92;0.002316;0;0
25.65;26.4;2.94;0.002257;0;0
25.65;26.4;2.96;0.002207;0;0
25.65;26.4;2.98;0.002191;0;0
25.65;26.4;3;0.002138;0;0
25.65;26.4;3.02;0.002085;0;0
25.65;26.4;3.04;0.002048;0;0
25.65;26.4;3.06;0.001997;0;0
25.65;26.4;3.08;0.001972;0;0
25.65;26.4;3.1;0.001934;0;0
25.65;26.4;3.12;0.001895;0;0
25.65;26.4;3.14;0.00187;0;0
25.65;26.4;3.16;0.00182;0;0
25.65;26.4;3.18;0.001788;0;0
25.65;26.4;3.2;0.001738;0;0
25.65;26.4;3.22;0.001705;0;0
25.65;26.4;3.24;0.001683;0;0
25.65;26.4;3.26;0.00165;0;0
25.65;26.4;3.28;0.001609;0;0
25.65;26.4;3.3;0.001599;0;0
25.65;26.4;3.32;0.00154;0;0
25.65;26.4;3.34;0.0015;0;0
25.65;26.4;3.36;0.001495;0;0
25.65;26.4;3.38;0.001468;0;0
25.65;26.4;3.4;0.001414;0;0
25.65;26.4;3.42;0.001391;0;0
25.65;26.4;3.44;0.001372;0;0
25.65;26.4;3.46;0.001349;0;0
25.65;26.4;3.48;0.001313;0;0
25.65;26.4;3.5;0.00128;0;0
25.65;26.4;3.52;0.001257;0;0
25.65;26.4;3.54;0.001224;0;0
25.65;26.4;3.56;0.001196;0;0
25.65;26.4;3.58;0.001189;0;0
25.65;26.4;3.6;0.001157;0;0
25.65;26.4;3.62;0.00114;0;0
25.65;26.4;3.64;0.001099;0;0
25.65;26.4;3.66;0.001084;0;0
25.65;26.4;3.68;0.001075;0;0
25.65;26.4;3.7;0.001047;0;0
25.65;26.4;3.72;0.001023;0;0
25.65;26.4;3.74;0.001004;0;0
25.65;26.4;3.76;0.000969;0;0
25.65;26.4;3.78;0.000961;0;0
25.65;26.4;3.8;0.000937;0;0
25.65;26.4;3.82;0.000906;0;0
25.65;26.4;3.84;0.000884;0;0
25.65;26.4;3.86;0.000873;0;0
25.65;26.4;3.88;0.000846;0;0
25.65;26.4;3.9;0.00084;0;0
25.65;26.4;3.92;0.000826;0;0
25.65;26.4;3.94;0.000796;0;0
25.65;26.4;3.96;0.000786;0;0
25.65;26.4;3.98;0.000757;0;0
25.65;26.4;4;0.000746;0;0
25.65;26.4;4.02;0.000728;0;0
25.65;26.4;4.04;0.000719;0;0
25.65;26.4;4.06;0.000703;0;0
25.65;26.4;4.08;0.000681;0;0
25.65;26.4;4.1;0.000665;0;0
25.65;26.4;4.12;0.000654;0;0
25.65;26.4;4.14;0.000651;0;0
25.65;26.4;4.16;0.000616;0;0
25.65;26.4;4.18;0.00062;0;0
25.65;26.4;4.2;0.000592;0;0
25.65;26.4;4.22;0.000575;1;0
25.65;26.4;4.24;0.000575;1;0
25.65;26.4;4.26;0.000564;1;0
25.65;26.4;4.28;0.000553;1;0
25.65;26.4;4.3;0.000536;1;0
25.65;26.4;4.32;0.00051;1;0
25.65;26.4;4.34;0.000514;1;0
25.65;26.4;4.36;0.000501;1;0
25.65;26.4;4.38;0.000484;1;0
25.65;26.4;4.4;0.000468;1;0
25.65;26.4;4.42;0.000462;1;0
25.65;26.4;4.44;0.000453;1;0
25.65;26.4;4.46;0.000437;1;0
25.65;26.4;4.48;0.000433;1;0
25.65;26.4;4.5;0.000422;1;0
25.65;26.4;4.52;0.000407;1;0
25.65;26.4;4.54;0.000399;1;0
25.65;26.4;4.56;0.000389;1;0
25.65;26.4;4.58;0.000382;1;0
25.65;26.4;4.6;0.000382;1;0
25.65;26.4;4.62;0.000364;1;0
25.65;26.4;4.64;0.000358;1;0
25.65;26.4;4.66;0.000347;1;0
25.65;26.4;4.68;0.00033;1;0
25.65;26.4;4.7;0.000333;1;0
25.65;26.4;4.72;0.000318;1;0
25.65;26.4;4.74;0.000312;1;0
25.65;26.4;4.76;0.000307;1;0
25.65;26.4;4.78;0.0003;1;0
25.65;26.4;4.8;0.000294;1;0
25.65;26.4;4.82;0.000292;1;0
25.65;26.4;4.84;0.000277;2;0
25.65;26.4;4.86;0.000278;2;0
25.65;26.4;4.88;0.000262;2;0
25.65;26.4;4.9;0.000254;2;0
25.65;26.4;4.92;0.000243;2;0
25.65;26.4;4.94;0.000239;2;0
25.65;26.4;4.96;0.000243;2;0
25.65;26.4;4.98;0.000225;2;0
25.65;26.4;5;0.000223;2;0
25.65;26.4;5.02;0.000223;2;0
25.65;26.4;5.04;0.000216;2;0
25.65;26.4;5.06;0.000202;2;0
25.65;26.4;5.08;0.000205;2;0
25.65;26.4;5.1;0.000201;2;0
25.65;26.4;5.12;0.000191;2;0
25.65;26.4;5.14;0.000185;2;0
25.65;26.4;5.16;0.000184;2;0
25.65;26.4;5.18;0.000177;2;0
25.65;26.4;5.2;0.000174;2;0
25.65;26.4;5.22;0.000168;2;0
25.65;26.4;5.24;0.000159;2;0
25.65;26.4;5.26;0.000158;2;0
25.65;26.4;5.28;0.00015;2;0
25.65;26.4;5.3;0.000147;2;0
25.65;26.4;5.32;0.000147;2;0
25.65;26.4;5.34;0.000139;2;0
25.65;26.4;5.36;0.000139;2;0
25.65;26.4;5.38;0.000129;2;0
25.65;26.4;5.4;0.000129;2;0
25.65;26.4;5.42;0.000128;2;0
25.65;26.4;5.44;0.000124;2;0
25.65;26.4;5.46;0.000119;2;0
25.65;26.4;5.48;0.000119;2;0
25.65;26.4;5.5;0.000115;2;0
25.65;26.4;5.52;0.000106;2;0
25.65;26.4;5.54;0.000109;2;0
25.65;26.4;5.56;0.0001;2;0
25.65;26.4;5.58;0.000099;2;0
25.65;26.4;5.6;0.000097;2;0
25.65;26.4;5.62;0.000094;2;0
25.65;26.4;5.64;0.000094;2;0
25.65;26.4;5.66;0.00009;2;0
25.65;26.4;5.68;0.000087;2;0
25.65;26.4;5.7;0.000084;2;0
25.65;26.4;5.72;0.000081;2;0
25.65;26.4;5.74;0.000082;2;0
25.65;26.4;5.76;0.000077;2;0
25.65;26.4;5.78;0.000079;2;0
25.65;26.4;5.8;0.00007;2;0
25.65;26.4;5.82;0.000073;2;0
25.65;26.4;5.84;0.000071;2;0
25.65;26.4;5.86;0.000069;2;0
25.65;26.4;5.88;0.000066;2;0
25.65;26.4;5.9;0.000062;2;0
25.65;26.4;5.92;0.000063;2;0
25.65;26.4;5.94;0.000059;2;0
25.65;26.4;5.96;0.000057;2;0
25.65;26.4;5.98;0.000056;2;0
25.65;26.4;6;0.000056;2;0
25.65;26.4;6.02;0.000054;2;0
25.65;26.4;6.04;0.000054;2;0
25.65;26.4;6.06;0.000048;2;0
25.65;26.4;6.08;0.000051;2;0
25.65;26.4;6.1;0.000043;2;0
25.65;26.4;6.12;0.000046;2;0
25.65;26.4;6.14;0.000044;2;0
25.65;26.4;6.16;0.000041;2;0
25.65;26.4;6.18;0.00004;2;0
25.65;26.4;6.2;0.000039;2;0
25.65;26.4;6.22;0.000035;2;0
25.65;26.4;6.24;0.000036;2;0
25.65;26.4;6.26;0.000036;2;0
25.65;26.4;6.28;0.000037;2;0
25.65;26.4;6.3;0.000034;2;0
25.65;26.4;6.32;0.000029;2;0
25.65;26.4;6.34;0.000028;2;0
25.65;26.4;6.36;0.000029;2;0
25.65;26.4;6.38;0.000028;2;0
25.65;26.4;6.4;0.000028;2;0
25.65;26.4;6.42;0.000025;2;0
25.65;26.4;6.44;0.000025;2;0
25.65;26.4;6.46;0.000026;2;0
25.65;26.4;6.48;0.000024;2;0
25.65;26.4;6.5;0.000023;2;0
25.65;26.4;6.52;0.000024;2;0
25.65;26.4;6.54;0.000021;2;0
25.65;26.4;6.56;0.000021;2;0
25.65;26.4;6.58;0.00002;2;0
25.65;26.4;6.6;0.000019;2;0
25.65;26.4;6.62;0.000021;2;0
25.65;26.4;6.64;0.000016;2;0
25.65;26.4;6.66;0.000018;2;0
25.65;26.4;6.68;0.000016;2;0
25.65;26.4;6.7;0.000015;2;0
25.65;26.4;6.72;0.000014;2;0
25.65;26.4;6.74;0.000012;2;0
25.65;26.4;6.76;0.000013;2;0
25.65;26.4;6.78;0.000014;2;0
25.65;26.4;6.8;0.000012;2;0
25.65;26.4;6.82;0.000012;2;0
25.65;26.4;6.84;0.000012;2;0
25.65;26.4;6.86;0.000012;2;0
25.65;26.4;6.88;0.000012;2;0
25.65;26.4;6.9;0.000011;2;0
25.65;26.4;6.92;0.000012;2;0
25.65;26.4;6.94;0.000009;2;0
25.65;26.4;6.96;0.00001;2;0
25.65;26.4;6.98;0.000009;2;0
25.65;26.4;7;0.00001;2;0
25.65;26.4;7.02;0.000009;2;0
25.65;26.4;7.04;0.000009;2;0
25.65;26.4;7.06;0.000008;2;0
25.65;26.4;7.08;0.000007;2;0
25.65;26.4;7.1;0.000006;2;0
25.65;26.4;7.12;0.000006;2;0
25.65;26.4;7.14;0.000006;2;0
25.65;26.4;7.16;0.000006;2;0
