#Grid-Scan using Optidos
#Timet: 20-06-24-11:53:44
#Unit: Gy
#Duration: 1 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
25;26;0;0.011;0;0
25.1;26;0;0.01121;0;0
25.2;26;0;0.01146;0;0
25.3;26;0;0.01172;0;0
25.4;26;0;0.01192;0;0
25.5;26;0;0.01207;0;0
25.6;26;0;0.01212;0;0
25.7;26;0;0.01213;0;0
25.8;26;0;0.01204;0;0
25.9;26;0;0.01196;0;0
26;26;0;0.01176;0;0
26;26.1;0;0.01194;0;0
25.9;26.1;0;0.01214;0;0
25.8;26.1;0;0.01225;0;0
25.7;26.1;0;0.01227;0;0
25.6;26.1;0;0.01235;0;0
25.5;26.1;0;0.01229;0;0
25.4;26.1;0;0.01214;0;0
25.3;26.1;0;0.01199;0;0
25.2;26.1;0;0.01177;0;0
25.1;26.1;0;0.01148;0;0
25;26.1;0;0.01112;0;0
25;26.2;0;0.01125;0;0
25.1;26.2;0;0.01151;0;0
25.2;26.2;0;0.01186;0;0
25.3;26.2;0;0.01208;0;0
25.4;26.2;0;0.01227;0;0
25.5;26.2;0;0.01243;0;0
25.6;26.2;0;0.01251;0;0
25.7;26.2;0;0.01249;0;0
25.8;26.2;0;0.01243;0;0
25.9;26.2;0;0.01229;0;0
26;26.2;0;0.01213;0;0
26;26.3;0;0.01214;0;0
25.9;26.3;0;0.01241;0;0
25.8;26.3;0;0.01254;0;0
25.7;26.3;0;0.01256;0;0
25.6;26.3;0;0.01259;0;0
25.5;26.3;0;0.01258;0;0
25.4;26.3;0;0.01244;0;0
25.3;26.3;0;0.01225;0;0
25.2;26.3;0;0.01201;0;0
25.1;26.3;0;0.0117;0;0
25;26.3;0;0.01135;0;0
25;26.4;0;0.01138;0;0
25.1;26.4;0;0.01163;0;0
25.2;26.4;0;0.01196;0;0
25.3;26.4;0;0.0122;0;0
25.4;26.4;0;0.01242;0;0
25.5;26.4;0;0.0126;0;0
25.6;26.4;0;0.01265;0;0
25.7;26.4;0;0.01265;0;0
25.8;26.4;0;0.01261;0;0
25.9;26.4;0;0.01247;0;0
26;26.4;0;0.01221;0;0
26;26.5;0;0.01223;0;0
25.9;26.5;0;0.01242;0;0
25.8;26.5;0;0.01256;0;0
25.7;26.5;0;0.01263;0;0
25.6;26.5;0;0.01264;0;0
25.5;26.5;0;0.01261;0;0
25.4;26.5;0;0.01247;0;0
25.3;26.5;0;0.01229;0;0
25.2;26.5;0;0.01199;0;0
25.1;26.5;0;0.01172;0;0
25;26.5;0;0.01132;0;0
25;26.6;0;0.01126;0;0
25.1;26.6;0;0.01154;0;0
25.2;26.6;0;0.01187;0;0
25.3;26.6;0;0.01213;0;0
25.4;26.6;0;0.01234;0;0
25.5;26.6;0;0.01244;0;0
25.6;26.6;0;0.01255;0;0
25.7;26.6;0;0.01258;0;0
25.8;26.6;0;0.01247;0;0
25.9;26.6;0;0.01237;0;0
26;26.6;0;0.01216;0;0
26;26.7;0;0.01204;0;0
25.9;26.7;0;0.01221;0;0
25.8;26.7;0;0.01234;0;0
25.7;26.7;0;0.01242;0;0
25.6;26.7;0;0.01242;0;0
25.5;26.7;0;0.01238;0;0
25.4;26.7;0;0.01224;0;0
25.3;26.7;0;0.01204;0;0
25.2;26.7;0;0.01176;0;0
25.1;26.7;0;0.0115;0;0
25;26.7;0;0.01113;0;0
25;26.8;0;0.01095;0;0
25.1;26.8;0;0.01124;0;0
25.2;26.8;0;0.01153;0;0
25.3;26.8;0;0.01178;0;0
25.4;26.8;0;0.01198;0;0
25.5;26.8;0;0.0121;0;0
25.6;26.8;0;0.01218;0;0
25.7;26.8;0;0.01222;0;0
25.8;26.8;0;0.01216;0;0
25.9;26.8;0;0.01201;0;0
26;26.8;0;0.01185;0;0
26;26.9;0;0.01162;0;0
25.9;26.9;0;0.01177;0;0
25.8;26.9;0;0.01187;0;0
25.7;26.9;0;0.01193;0;0
25.6;26.9;0;0.01192;0;0
25.5;26.9;0;0.01187;0;0
25.4;26.9;0;0.01174;0;0
25.3;26.9;0;0.01153;0;0
25.2;26.9;0;0.01133;0;0
25.1;26.9;0;0.01104;0;0
25;26.9;0;0.01072;0;0
25;27;0;0.01041;0;0
25.1;27;0;0.0107;0;0
25.2;27;0;0.01094;0;0
25.3;27;0;0.01121;0;0
25.4;27;0;0.01141;0;0
25.5;27;0;0.01151;0;0
25.6;27;0;0.01159;0;0
25.7;27;0;0.0116;0;0
25.8;27;0;0.01154;0;0
25.9;27;0;0.01148;0;0
26;27;0;0.01132;0;0
