#Grid-Scan using Optidos
#Timet: 20-06-24-13:54:23
#Unit: Gy
#Duration: 2 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
23.95;25.1;0;0.006213;0;0
24.15;25.1;0;0.007639;0;0
24.35;25.1;0;0.009194;0;0
24.55;25.1;0;0.0108;0;0
24.75;25.1;0;0.01233;0;0
24.95;25.1;0;0.01367;0;0
25.15;25.1;0;0.01477;0;0
25.35;25.1;0;0.01548;0;0
25.55;25.1;0;0.01583;0;0
25.75;25.1;0;0.01583;0;0
25.95;25.1;0;0.01537;0;0
26.15;25.1;0;0.01458;0;0
26.35;25.1;0;0.01354;0;0
26.55;25.1;0;0.0122;0;0
26.75;25.1;0;0.01074;0;0
26.95;25.1;0;0.009137;0;0
27.15;25.1;0;0.007518;0;0
27.35;25.1;0;0.006119;0;0
27.55;25.1;0;0.004877;0;0
27.75;25.1;0;0.003849;0;0
27.95;25.1;0;0.003035;0;0
28.15;25.1;0;0.00242;0;0
28.15;25.3;0;0.002604;0;0
27.95;25.3;0;0.003279;0;0
27.75;25.3;0;0.004129;0;0
27.55;25.3;0;0.00522;0;0
27.35;25.3;0;0.00661;0;0
27.15;25.3;0;0.008243;0;0
26.95;25.3;0;0.0102;0;0
26.75;25.3;0;0.01204;0;0
26.55;25.3;0;0.01386;0;0
26.35;25.3;0;0.01542;0;0
26.15;25.3;0;0.01666;0;0
25.95;25.3;0;0.01766;0;0
25.75;25.3;0;0.01815;0;0
25.55;25.3;0;0.01828;0;0
25.35;25.3;0;0.01798;0;0
25.15;25.3;0;0.01719;0;0
24.95;25.3;0;0.01599;0;0
24.75;25.3;0;0.01455;0;0
24.55;25.3;0;0.01281;0;0
24.35;25.3;0;0.011;0;0
24.15;25.3;0;0.00921;0;0
23.95;25.3;0;0.007417;0;0
23.75;25.3;0;0.005927;0;0
23.55;25.3;0;0.004641;0;0
23.35;25.3;0;0.003645;0;0
23.15;25.3;0;0.002822;0;0
23.15;25.5;0;0.003098;0;0
23.35;25.5;0;0.003978;0;0
23.55;25.5;0;0.0051;0;0
23.75;25.5;0;0.006573;0;0
23.95;25.5;0;0.008298;0;0
24.15;25.5;0;0.01022;0;0
24.35;25.5;0;0.01227;0;0
24.55;25.5;0;0.01433;0;0
24.75;25.5;0;0.01615;0;0
24.95;25.5;0;0.01779;0;0
25.15;25.5;0;0.01901;0;0
25.35;25.5;0;0.01987;0;0
25.55;25.5;0;0.02027;0;0
25.75;25.5;0;0.02025;0;0
25.95;25.5;0;0.01974;0;0
26.15;25.5;0;0.01886;0;0
26.35;25.5;0;0.0175;0;0
26.55;25.5;0;0.0159;0;0
26.75;25.5;0;0.01402;0;0
26.95;25.5;0;0.01205;0;0
27.15;25.5;0;0.009983;0;0
27.35;25.5;0;0.008099;0;0
27.55;25.5;0;0.006347;0;0
27.75;25.5;0;0.004967;0;0
27.95;25.5;0;0.00383;0;0
28.15;25.5;0;0.002936;0;0
28.15;25.7;0;0.003117;0;0
27.95;25.7;0;0.003923;0;0
27.75;25.7;0;0.005091;0;0
27.55;25.7;0;0.006654;0;0
27.35;25.7;0;0.008418;0;0
27.15;25.7;0;0.01055;0;0
26.95;25.7;0;0.01286;0;0
26.75;25.7;0;0.01508;0;0
26.55;25.7;0;0.01722;0;0
26.35;25.7;0;0.01901;0;0
26.15;25.7;0;0.0205;0;0
25.95;25.7;0;0.02152;0;0
25.75;25.7;0;0.02208;0;0
25.55;25.7;0;0.02205;0;0
25.35;25.7;0;0.02172;0;0
25.15;25.7;0;0.02084;0;0
24.95;25.7;0;0.01949;0;0
24.75;25.7;0;0.01797;0;0
24.55;25.7;0;0.01597;0;0
24.35;25.7;0;0.01378;0;0
24.15;25.7;0;0.0116;0;0
23.95;25.7;0;0.00945;0;0
23.75;25.7;0;0.007463;0;0
23.55;25.7;0;0.005813;0;0
23.35;25.7;0;0.00447;0;0
23.15;25.7;0;0.003424;0;0
23.15;25.9;0;0.003612;0;0
23.35;25.9;0;0.004678;0;0
23.55;25.9;0;0.00612;0;0
23.75;25.9;0;0.007952;0;0
23.95;25.9;0;0.009999;0;0
24.15;25.9;0;0.01229;0;0
24.35;25.9;0;0.01465;0;0
24.55;25.9;0;0.01694;0;0
24.75;25.9;0;0.01892;0;0
24.95;25.9;0;0.02067;0;0
25.15;25.9;0;0.02206;0;0
25.35;25.9;0;0.02298;0;0
25.55;25.9;0;0.02349;0;0
25.75;25.9;0;0.02351;0;0
25.95;25.9;0;0.02295;0;0
26.15;25.9;0;0.02193;0;0
26.35;25.9;0;0.02048;0;0
26.55;25.9;0;0.01869;0;0
26.75;25.9;0;0.01661;0;0
26.95;25.9;0;0.01438;0;0
27.15;25.9;0;0.01202;0;0
27.35;25.9;0;0.009733;0;0
27.55;25.9;0;0.007659;0;0
27.75;25.9;0;0.005896;0;0
27.95;25.9;0;0.004492;0;0
28.15;25.9;0;0.003408;0;0
28.15;26.1;0;0.003484;0;0
27.95;26.1;0;0.004407;0;0
27.75;26.1;0;0.0058;0;0
27.55;26.1;0;0.00755;0;0
27.35;26.1;0;0.009775;0;0
27.15;26.1;0;0.01218;0;0
26.95;26.1;0;0.01469;0;0
26.75;26.1;0;0.01719;0;0
26.55;26.1;0;0.01935;0;0
26.35;26.1;0;0.02125;0;0
26.15;26.1;0;0.02279;0;0
25.95;26.1;0;0.0239;0;0
25.75;26.1;0;0.02442;0;0
25.55;26.1;0;0.02448;0;0
25.35;26.1;0;0.02402;0;0
25.15;26.1;0;0.02308;0;0
24.95;26.1;0;0.02169;0;0
24.75;26.1;0;0.01994;0;0
24.55;26.1;0;0.01782;0;0
24.35;26.1;0;0.01555;0;0
24.15;26.1;0;0.01316;0;0
23.95;26.1;0;0.01076;0;0
23.75;26.1;0;0.00855;0;0
23.55;26.1;0;0.006622;0;0
23.35;26.1;0;0.005042;0;0
23.15;26.1;0;0.003855;0;0
23.15;26.3;0;0.00391;0;0
23.35;26.3;0;0.005072;0;0
23.55;26.3;0;0.006642;0;0
23.75;26.3;0;0.00858;0;0
23.95;26.3;0;0.0109;0;0
24.15;26.3;0;0.01329;0;0
24.35;26.3;0;0.01573;0;0
24.55;26.3;0;0.01807;0;0
24.75;26.3;0;0.02023;0;0
24.95;26.3;0;0.02207;0;0
25.15;26.3;0;0.02351;0;0
25.35;26.3;0;0.0245;0;0
25.55;26.3;0;0.02503;0;0
25.75;26.3;0;0.02498;0;0
25.95;26.3;0;0.02459;0;0
26.15;26.3;0;0.02346;0;0
26.35;26.3;0;0.02198;0;0
26.55;26.3;0;0.02012;0;0
26.75;26.3;0;0.01799;0;0
26.95;26.3;0;0.01564;0;0
27.15;26.3;0;0.01311;0;0
27.35;26.3;0;0.01058;0;0
27.55;26.3;0;0.008297;0;0
27.75;26.3;0;0.006386;0;0
27.95;26.3;0;0.004849;0;0
28.15;26.3;0;0.003641;0;0
28.15;26.5;0;0.003537;0;0
27.95;26.5;0;0.004546;0;0
27.75;26.5;0;0.005994;0;0
27.55;26.5;0;0.007773;0;0
27.35;26.5;0;0.01004;0;0
27.15;26.5;0;0.01255;0;0
26.95;26.5;0;0.01517;0;0
26.75;26.5;0;0.01769;0;0
26.55;26.5;0;0.01993;0;0
26.35;26.5;0;0.02186;0;0
26.15;26.5;0;0.02342;0;0
25.95;26.5;0;0.0245;0;0
25.75;26.5;0;0.02507;0;0
25.55;26.5;0;0.02505;0;0
25.35;26.5;0;0.02458;0;0
25.15;26.5;0;0.02361;0;0
24.95;26.5;0;0.0222;0;0
24.75;26.5;0;0.02042;0;0
24.55;26.5;0;0.01827;0;0
24.35;26.5;0;0.01599;0;0
24.15;26.5;0;0.01353;0;0
23.95;26.5;0;0.01112;0;0
23.75;26.5;0;0.00883;0;0
23.55;26.5;0;0.006804;0;0
23.35;26.5;0;0.005228;0;0
23.15;26.5;0;0.003952;0;0
23.15;26.7;0;0.003853;0;0
23.35;26.7;0;0.005003;0;0
23.55;26.7;0;0.006514;0;0
23.75;26.7;0;0.008399;0;0
23.95;26.7;0;0.01068;0;0
24.15;26.7;0;0.01297;0;0
24.35;26.7;0;0.01541;0;0
24.55;26.7;0;0.01776;0;0
